source,source_country,source_region,destination,destination_country,destination_region,distance_km
ARN,Sweden,EUW,GEV,Sweden,EUW,843.9758148468107
ARN,Sweden,EUW,HAD,Sweden,EUW,444.4784372618803
ARN,Sweden,EUW,JKG,Sweden,EUW,306.2054197734869
ARN,Sweden,EUW,KRF,Sweden,EUW,377.77962351832605
ARN,Sweden,EUW,KSD,Sweden,EUW,259.14683110204675
ARN,Sweden,EUW,LYC,Sweden,EUW,546.0229776499885
ARN,Sweden,EUW,MHQ,Finland,EUW,122.18564500712071
ARN,Sweden,EUW,OER,Sweden,EUW,421.5199429806082
ARN,Sweden,EUW,POR,Finland,EUW,292.3265699251817
ARN,Sweden,EUW,TRF,Norway,ENW,436.1582874294317
ARN,Sweden,EUW,VBY,Sweden,EUW,222.55517159028483
ARN,Sweden,EUW,VHM,Sweden,EUW,550.7566446512764
ARN,Sweden,EUW,VXO,Sweden,EUW,355.49050697254944
GEV,Sweden,EUW,ARN,Sweden,EUW,843.9758148468107
GEV,Sweden,EUW,KRF,Sweden,EUW,475.83525850542134
HAD,Sweden,EUW,ARN,Sweden,EUW,444.4784372618803
HAD,Sweden,EUW,JKG,Sweden,EUW,140.39235940112985
HAD,Sweden,EUW,VXO,Sweden,EUW,119.10046954751851
HMV,Sweden,EUW,VHM,Sweden,EUW,159.00438759313693
JKG,Sweden,EUW,ARN,Sweden,EUW,306.2054197734869
JKG,Sweden,EUW,HAD,Sweden,EUW,140.39235940112985
KOK,Finland,EUW,POR,Finland,EUW,260.46635412823105
KRF,Sweden,EUW,ARN,Sweden,EUW,377.77962351832605
KRF,Sweden,EUW,GEV,Sweden,EUW,475.83525850542134
KSD,Sweden,EUW,ARN,Sweden,EUW,259.14683110204675
LYC,Sweden,EUW,AJR,Sweden,EUW,118.85904094007256
LYC,Sweden,EUW,ARN,Sweden,EUW,546.0229776499885
MHQ,Finland,EUW,ARN,Sweden,EUW,122.18564500712071
MHQ,Finland,EUW,TKU,Finland,EUW,137.28935130200296
OER,Sweden,EUW,ARN,Sweden,EUW,421.5199429806082
OSL,Norway,ENW,VXO,Sweden,EUW,414.0599300188711
POR,Finland,EUW,ARN,Sweden,EUW,292.3265699251817
POR,Finland,EUW,KOK,Finland,EUW,260.46635412823105
TKU,Finland,EUW,MHQ,Finland,EUW,137.28935130200296
TRF,Norway,ENW,ARN,Sweden,EUW,436.1582874294317
VBY,Sweden,EUW,ARN,Sweden,EUW,222.55517159028483
VHM,Sweden,EUW,ARN,Sweden,EUW,550.7566446512764
VHM,Sweden,EUW,HMV,Sweden,EUW,159.00438759313693
VXO,Sweden,EUW,ARN,Sweden,EUW,355.49050697254944
VXO,Sweden,EUW,OSL,Norway,ENW,414.0599300188711
ADQ,United States,USA,KLN,United States,USA,91.48827084792852
KLN,United States,USA,KYK,United States,USA,28.38402958681258
BSO,Philippines,IDN,MNL,Philippines,IDN,668.5873317352389
BXU,Philippines,IDN,MNL,Philippines,IDN,785.6636043607376
